yearmon,day,temperature
21,29,24
21,30,24
21,31,25
22,1,25
22,2,21
22,3,16
22,4,17
22,5,21
22,6,21
22,7,25
22,8,25
22,9,25
22,10,25
22,11,25
22,12,20
22,13,16
22,14,14
22,15,17
22,16,13
22,17,10
22,18,9
22,19,11
22,20,13
22,21,12
22,22,13
22,23,15
22,24,17
22,25,18
22,26,21
22,27,21
22,28,21
22,29,20
22,30,18
23,1,16
23,2,19
23,3,15
23,4,15
23,5,16
23,6,17
23,7,18
23,8,18
23,9,18
23,10,19
23,11,18
23,12,21
23,13,19
23,14,19
23,15,16
23,16,13
23,17,11
23,18,11
23,19,11
23,20,11
23,21,13
23,22,15
23,23,17
23,24,18
23,25,17
23,26,17
23,27,11
23,28,10
23,29,14
23,30,15
23,31,15
24,1,16
24,2,16
24,3,16
24,4,17
24,5,17
24,6,13
24,7,11
24,8,11
24,9,13
24,10,17
24,11,12
24,12,10
24,13,10
24,14,13
24,15,15
24,16,14
24,17,14
24,18,16
24,19,16
24,20,21
24,21,22
24,22,17
24,23,13
24,24,13
24,25,15
24,26,15
24,27,16
24,28,18
24,29,18
24,30,18
24,31,20
25,1,19
25,2,19
25,3,18
25,4,18
25,5,18
25,6,18
25,7,18
25,8,18
25,9,22
25,10,24
25,11,25
25,12,11
25,13,10
25,14,14
25,15,10
25,16,8
25,17,8
25,18,7
25,19,7
25,20,11
25,21,15
25,22,16
25,23,17
25,24,21
25,25,24
25,26,22
25,27,23
25,28,23
26,1,23
26,2,25
26,3,24
26,4,25
26,5,25
26,6,25
26,7,15
26,8,12
26,9,9
26,10,8
26,11,11
26,12,17
26,13,18
26,14,20
26,15,20
26,16,19
26,17,18
26,18,19
26,19,18
26,20,20
26,21,20
26,22,20
26,23,22
26,24,19
26,25,15
26,26,16
26,27,18
26,28,16
26,29,18
26,30,19
26,31,21
27,1,22
27,2,18
27,3,18
27,4,19
27,5,21
27,6,23
27,7,19
27,8,16
27,9,18
27,10,20
27,11,22
27,12,26
27,13,21
27,14,19
27,15,13
27,16,13
27,17,17
27,18,19
27,19,21
27,20,23
27,21,26
27,22,21
27,23,19
27,24,20
27,25,20
27,26,21
27,27,20
27,28,22
27,29,19
27,30,19
28,1,21
28,2,23
28,3,22
28,4,23
28,5,25
28,6,26
28,7,23
28,8,26
28,9,26
28,10,22
28,11,24
28,12,24
28,13,24
28,14,25
28,15,24
28,16,24
28,17,25
28,18,27
28,19,23
28,20,23
28,21,28
28,22,29
28,23,24
28,24,22
28,25,24
28,26,25
28,27,26
28,28,26
28,29,25
28,30,26
28,31,25
29,1,23
29,2,21
29,3,21
29,4,24
29,5,24
29,6,24
29,7,24
29,8,25
29,9,24
29,10,25
29,11,26
29,12,26
29,13,28
29,14,29
29,15,29
29,16,29
29,17,30
29,18,29
29,19,29
29,20,29
29,21,29
29,22,28
29,23,26
29,24,29
29,25,28
29,26,25
29,27,26
29,28,25
29,29,26
29,30,28
30,1,28
30,2,29
30,3,29
30,4,29
30,5,29
30,6,30
30,7,30
30,8,29
30,9,30
30,10,29
30,11,28
30,12,27
30,13,29
30,14,29
30,15,27
30,16,27
30,17,25
30,18,26
30,19,28
30,20,27
30,21,26
30,22,27
30,23,26
30,24,28
30,25,27
30,26,27
30,27,27
30,28,24
30,29,25
30,30,28
30,31,29
31,1,29
31,2,28
31,3,27
31,4,28
31,5,25
31,6,26
31,7,26
31,8,26
31,9,29
31,10,28
31,11,29
31,12,29
31,13,29
31,14,27
31,15,26
31,16,26
31,17,27
31,18,27
31,19,27
31,20,26
31,21,28
31,22,29
31,23,26
31,24,26
31,25,27
31,26,27
31,27,27
31,28,27
31,29,27
31,30,28
31,31,29
32,1,30
32,2,28
32,3,25
32,4,26
32,5,25
32,6,27
32,7,29
32,8,29
32,9,25
32,10,24
32,11,25
32,12,25
32,13,25
32,14,27
32,15,27
32,16,26
32,17,26
32,18,28
32,19,29
32,20,25
32,21,24
32,22,24
32,23,26
32,24,26
32,25,27
32,26,26
32,27,27
32,28,26
32,29,28
32,30,27
33,1,27
33,2,27
33,3,27
33,4,25
33,5,24
33,6,23
33,7,25
33,8,26
33,9,25
33,10,25
33,11,27
33,12,27
33,13,26
33,14,27
33,15,25
33,16,24
33,17,25
33,18,26
33,19,25
33,20,25
33,21,25
33,22,23
33,23,23
33,24,23
33,25,24
33,26,20
33,27,18
33,28,16
33,29,17
33,30,16
33,31,17
34,1,18
34,2,20
34,3,19
34,4,17
34,5,17
34,6,17
34,7,20
34,8,19
34,9,21
34,10,19
34,11,18
34,12,19
34,13,21
34,14,22
34,15,23
34,16,20
34,17,18
34,18,21
34,19,19
34,20,19
34,21,20
34,22,20
34,23,20
34,24,20
34,25,19
34,26,18
34,27,19
34,28,20
34,29,19
34,30,20
35,1,19
35,2,18
35,3,17
35,4,19
35,5,20
35,6,21
35,7,17
35,8,15
35,9,14
35,10,18
35,11,20
35,12,20
35,13,18
35,14,20
35,15,11
35,16,7
35,17,5
35,18,9
35,19,16
35,20,17
35,21,20
35,22,18
35,23,17
35,24,18
35,25,11
35,26,9
35,27,9
35,28,11
35,29,14
35,30,14
35,31,13
36,1,13
36,2,14
36,3,10
36,4,9
36,5,12
36,6,10
36,7,8
36,8,10
36,9,12
36,10,10
36,11,8
36,12,6
36,13,8
36,14,13
36,15,10
36,16,9
36,17,9
36,18,13
36,19,13
36,20,13
36,21,10
36,22,10
36,23,13
36,24,12
36,25,12
36,26,12
36,27,14
36,28,13
36,29,10
36,30,8
36,31,10
37,1,13
37,2,12
37,3,14
37,4,13
37,5,14
37,6,16
37,7,19
37,8,18
37,9,17
37,10,16
37,11,15
37,12,12
37,13,11
37,14,8
37,15,10
37,16,12
37,17,12
37,18,13
37,19,11
37,20,12
37,21,15
37,22,15
37,23,16
37,24,15
37,25,18
37,26,17
37,27,18
37,28,16
38,1,19
38,2,17
38,3,16
38,4,15
38,5,16
38,6,18
38,7,16
38,8,13
38,9,13
38,10,14
38,11,16
38,12,17
38,13,17
38,14,20
38,15,15
38,16,13
38,17,14
38,18,14
38,19,13
38,20,17
38,21,21
38,22,16
38,23,14
38,24,14
38,25,15
38,26,17
38,27,14
38,28,15
38,29,16
38,30,18
38,31,17
39,1,18
39,2,19
39,3,19
39,4,18
39,5,18
39,6,18
39,7,20
39,8,20
39,9,21
39,10,21
39,11,20
39,12,21
39,13,21
39,14,21
39,15,22
39,16,23
39,17,24
39,18,23
39,19,22
39,20,21
39,21,22
39,22,23
39,23,20
39,24,19
39,25,20
39,26,20
39,27,24
39,28,25
39,29,23
39,30,24
40,1,25
40,2,26
40,3,24
40,4,22
40,5,22
40,6,25
40,7,26
40,8,27
40,9,26
40,10,27
40,11,28
40,12,28
40,13,25
40,14,24
40,15,25
40,16,25
40,17,23
40,18,23
40,19,25
40,20,25
40,21,25
40,22,23
40,23,22
40,24,20
40,25,20
40,26,23
40,27,24
40,28,24
40,29,25
40,30,25
40,31,23
41,1,26
41,2,26
41,3,27
41,4,27
41,5,28
41,6,29
41,7,29
41,8,29
41,9,29
41,10,28
41,11,26
41,12,25
41,13,27
41,14,27
41,15,29
41,16,25
41,17,27
41,18,27
41,19,28
41,20,28
41,21,28
41,22,26
41,23,25
41,24,28
41,25,27
41,26,28
41,27,29
41,28,25
41,29,24
41,30,26
42,1,28
42,2,28
42,3,28
42,4,28
42,5,28
42,6,29
42,7,29
42,8,29
42,9,27
42,10,28
42,11,28
42,12,28
42,13,27
42,14,26
42,15,26
42,16,26
42,17,28
42,18,26
42,19,26
42,20,26
42,21,27
42,22,28
42,23,28
42,24,27
42,25,28
42,26,29
42,27,28
42,28,27
42,29,26
42,30,27
42,31,27
43,1,27
43,2,27
43,3,27
43,4,28
43,5,28
43,6,28
43,7,30
43,8,27
43,9,27
43,10,25
43,11,26
43,12,28
43,13,28
43,14,29
43,15,29
43,16,28
43,17,28
43,18,28
43,19,28
43,20,28
43,21,29
43,22,28
43,23,29
43,24,28
43,25,29
43,26,28
43,27,28
43,28,29
43,29,30
43,30,30
43,31,30
44,1,28
44,2,28
44,3,26
44,4,28
44,5,28
44,6,28
44,7,28
44,8,28
44,9,28
44,10,29
44,11,27
44,12,27
44,13,28
44,14,27
44,15,26
44,16,28
44,17,28
44,18,29
44,19,25
44,20,25
44,21,23
44,22,24
44,23,24
44,24,24
44,25,24
44,26,25
44,27,27
44,28,27
44,29,26
44,30,26
45,1,26
45,2,25
45,3,21
45,4,21
45,5,23
45,6,23
45,7,25
45,8,25
45,9,25
45,10,25
45,11,25
45,12,24
45,13,25
45,14,25
45,15,23
45,16,23
45,17,23
45,18,22
45,19,24
45,20,23
45,21,22
45,22,23
45,23,25
45,24,23
45,25,24
45,26,22
45,27,23
45,28,24
45,29,22
45,30,22
45,31,24
46,1,23
46,2,24
46,3,24
46,4,26
46,5,25
46,6,27
46,7,26
46,8,22
46,9,19
46,10,17
46,11,17
46,12,19
46,13,21
46,14,23
46,15,23
46,16,23
46,17,23
46,18,23
46,19,24
46,20,22
46,21,22
46,22,21
46,23,22
46,24,20
46,25,20
46,26,21
46,27,19
46,28,20
46,29,22
46,30,22
47,1,14
47,2,13
47,3,11
47,4,15
47,5,19
47,6,19
47,7,21
47,8,16
47,9,13
47,10,11
47,11,10
47,12,12
47,13,14
47,14,18
47,15,17
47,16,15
47,17,14
47,18,14
47,19,14
47,20,17
47,21,18
47,22,17
47,23,12
47,24,11
47,25,10
47,26,14
47,27,15
47,28,15
47,29,16
47,30,17
47,31,16
48,2,16
48,3,16
48,4,11
48,5,9
48,6,9
48,7,12
48,8,13
48,9,13
48,10,13
48,11,15
48,12,14
48,13,14
48,14,16
48,15,16
48,16,15
48,17,14
48,18,17
48,19,18
48,20,17
48,21,16
48,22,10
48,23,8
48,24,8
48,25,7
48,26,7
48,27,11
48,28,14
48,29,12
48,30,14
48,31,13
49,1,13
49,2,16
49,3,13
49,4,15
49,5,17
49,6,19
49,7,12
49,8,11
49,9,11
49,10,12
49,11,10
49,12,13
49,13,15
49,14,19
49,15,18
49,16,15
49,17,13
49,18,12
49,19,13
49,20,14
49,21,17
49,22,18
49,23,21
49,24,18
49,25,15
49,26,12
49,27,10
49,28,9
49,29,15
50,1,15
50,2,17
50,3,19
50,4,18
50,5,21
50,6,24
50,7,19
50,8,17
50,9,14
50,10,12
50,11,12
50,12,12
50,13,13
50,14,15
50,15,17
50,16,20
50,17,20
50,18,20
50,19,20
50,20,20
50,21,19
50,22,19
50,23,16
50,24,13
50,25,16
50,26,17
50,27,19
50,28,20
50,29,21
50,30,22
50,31,20
51,1,19
51,2,21
51,3,23
51,4,22
51,5,21
51,6,19
51,7,19
51,8,20
51,9,20
51,10,22
51,11,23
51,12,24
51,13,25
51,14,25
51,15,26
51,16,23
51,17,21
51,18,22
51,19,23
51,20,21
51,21,22
51,22,22
51,23,25
51,24,26
51,25,23
51,26,23
51,27,22
51,28,22
51,29,24
51,30,28
52,1,28
52,2,29
52,3,29
52,4,26
52,5,25
52,6,25
52,7,26
52,8,27
52,9,28
52,10,29
52,11,27
52,12,26
52,13,26
52,14,27
52,15,27
52,16,27
52,17,27
52,18,25
52,19,26
52,20,26
52,21,26
52,22,25
52,23,25
52,24,26
52,25,27
52,26,28
52,27,27
52,28,26
52,29,26
52,30,26
52,31,27
53,1,26
53,2,26
53,3,26
53,4,27
53,5,27
53,6,27
53,7,28
53,8,29
53,9,28
53,10,27
53,11,28
53,12,27
53,13,26
53,14,27
53,15,28
53,16,26
53,17,26
53,18,27
53,19,27
53,20,28
53,21,27
53,22,27
53,23,29
53,24,29
53,25,28
53,26,29
53,27,28
53,28,27
53,29,28
53,30,26
54,1,27
54,2,27
54,3,27
54,4,27
54,5,27
54,6,27
54,7,28
54,8,27
54,9,28
54,10,29
54,11,29
54,12,29
54,13,27
54,14,28
54,15,28
54,16,29
54,17,29
54,18,24
54,19,29
54,20,29
54,21,30
54,22,28
54,23,26
54,24,26
54,25,25
54,26,26
54,27,25
54,28,26
54,29,26
54,30,26
54,31,28
55,1,27
55,2,30
55,3,30
55,4,30
55,5,29
55,6,27
55,7,27
55,8,29
55,9,29
55,10,28
55,11,27
55,12,26
55,13,27
55,14,28
55,15,27
55,16,27
55,17,26
55,18,28
55,19,28
55,20,27
55,21,28
55,22,27
55,23,26
55,24,28
55,25,28
55,26,30
55,27,29
55,28,29
55,29,26
55,30,29
55,31,27
56,1,26
56,2,26
56,3,28
56,4,27
56,5,27
56,6,27
56,7,28
56,8,27
56,9,28
56,10,28
56,11,28
56,12,28
56,13,26
56,14,25
56,15,24
56,16,25
56,17,25
56,18,25
56,19,26
56,20,26
56,21,27
56,22,27
56,23,27
56,24,26
56,25,26
56,26,27
56,27,26
56,28,27
56,29,26
56,30,25
57,1,25
57,2,25
57,3,25
57,4,24
57,5,25
57,6,26
57,7,26
57,8,26
57,9,24
57,10,26
57,11,25
57,12,24
57,13,23
57,14,24
57,15,25
57,16,25
57,17,25
57,18,24
57,19,24
57,20,24
57,21,23
57,22,23
57,23,23
57,24,24
57,25,25
57,26,23
57,27,25
57,28,25
57,29,26
57,30,20
57,31,18
58,1,19
58,2,21
58,3,23
58,4,22
58,5,22
58,6,23
58,7,23
58,8,23
58,9,25
58,10,25
58,11,21
58,12,20
58,13,21
58,14,22
58,15,23
58,16,23
58,17,18
58,18,18
58,19,21
58,20,22
58,21,23
58,22,24
58,23,19
58,24,16
58,25,21
58,26,14
58,27,13
58,28,18
58,29,19
58,30,19
59,1,19
59,2,16
59,3,15
59,4,15
59,5,15
59,6,13
59,7,17
59,8,18
59,9,18
59,10,18
59,11,17
59,12,15
59,13,18
59,14,20
59,15,21
59,16,21
59,17,22
59,18,13
59,19,12
59,20,17
59,21,19
59,22,14
59,23,10
59,24,9
59,25,15
59,26,18
59,27,17
59,28,17
59,29,12
59,30,9
59,31,7
60,1,10
60,2,16
60,3,13
60,4,10
60,5,10
60,6,12
60,7,13
60,8,15
60,9,14
60,10,12
60,11,15
60,12,14
60,13,14
60,14,12
60,15,14
60,16,14
60,17,15
60,18,14
60,19,13
60,20,17
60,21,20
60,22,19
60,23,17
60,24,18
60,25,17
60,26,17
60,27,16
60,28,15
60,29,17
60,30,18
60,31,18
61,1,19
61,2,19
61,3,19
61,4,20
61,5,21
61,6,21
61,7,19
61,8,13
61,9,11
61,10,13
61,11,16
61,12,17
61,13,15
61,14,17
61,15,18
61,16,17
61,17,17
61,18,18
61,19,18
61,20,16
61,21,17
61,22,17
61,23,16
61,24,17
61,25,19
61,26,21
61,27,21
61,28,19
62,1,20
62,2,15
62,3,13
62,4,13
62,5,16
62,6,17
62,7,16
62,8,17
62,9,18
62,10,18
62,11,19
62,12,19
62,13,21
62,14,19
62,15,18
62,16,19
62,17,20
62,18,22
62,19,23
62,20,23
62,21,20
62,22,20
62,23,22
62,24,22
62,25,21
62,26,20
62,27,20
62,28,19
62,29,20
62,30,19
62,31,20
63,1,19
63,2,21
63,3,20
63,4,19
63,5,21
63,6,18
63,7,16
63,8,19
63,9,18
63,10,18
63,11,17
63,12,16
63,13,18
63,14,20
63,15,20
63,16,22
63,17,23
63,18,23
63,19,23
63,20,22
63,21,21
63,22,20
63,23,21
63,24,23
63,25,23
63,26,22
63,27,22
63,28,21
63,29,23
63,30,22
64,1,21
64,2,18
64,3,19
64,4,19
64,5,22
64,6,22
64,7,23
64,8,23
64,9,24
64,10,25
64,11,23
64,12,25
64,13,25
64,14,26
64,15,27
64,16,25
64,17,26
64,18,27
64,19,28
64,20,25
64,21,24
64,22,23
64,23,25
64,24,26
64,25,24
64,26,27
64,27,29
64,28,28
64,29,29
64,30,28
64,31,27
65,1,29
65,2,29
65,3,28
65,4,25
65,5,27
65,6,25
65,7,28
65,8,29
65,9,28
65,10,25
65,11,23
65,12,24
65,13,23
65,14,24
65,15,26
65,16,27
65,17,28
65,18,28
65,19,28
65,20,29
65,21,28
65,22,25
65,23,26
65,24,25
65,25,29
65,26,29
65,27,29
65,28,29
65,29,29
65,30,29
66,1,26
66,2,28
66,3,28
66,4,28
66,5,28
66,6,27
66,7,26
66,8,28
66,9,28
66,10,27
66,11,28
66,12,29
66,13,29
66,14,27
66,15,25
66,16,25
66,17,26
66,18,26
66,19,27
66,20,27
66,21,27
66,22,28
66,23,28
66,24,25
66,25,25
66,26,25
66,27,26
66,28,26
66,29,27
66,30,27
66,31,29
67,1,28
67,2,26
67,3,26
67,4,28
67,5,26
67,6,28
67,7,27
67,8,28
67,9,28
67,10,28
67,11,28
67,12,28
67,13,27
67,14,26
67,15,28
67,16,27
67,17,27
67,18,28
67,19,27
67,20,27
67,21,28
67,22,25
67,23,26
67,24,27
67,25,27
67,26,27
67,27,27
67,28,27
67,29,27
67,30,26
67,31,26
68,1,26
68,2,25
68,3,26
68,4,25
68,5,24
68,6,26
68,7,26
68,8,27
68,9,27
68,10,27
68,11,28
68,12,28
68,13,27
68,14,27
68,15,27
68,16,28
68,17,28
68,18,27
68,19,27
68,20,28
68,21,30
68,22,26
68,23,25
68,24,27
68,25,28
68,26,26
68,27,24
68,28,26
68,29,25
68,30,24
69,1,27
69,2,26
69,3,24
69,4,24
69,5,24
69,6,25
69,7,26
69,8,26
69,9,25
69,10,26
69,11,26
69,12,27
69,13,27
69,14,26
69,15,26
69,16,24
69,17,25
69,18,24
69,19,23
69,20,24
69,21,23
69,22,24
69,23,22
69,24,22
69,25,23
69,26,19
69,27,20
69,28,22
69,29,23
69,30,24
69,31,23
70,1,22
70,2,25
70,3,24
70,4,21
70,5,21
70,6,23
70,7,23
70,8,24
70,9,23
70,10,25
70,11,24
70,12,22
70,13,19
70,14,19
70,15,18
70,16,19
70,17,19
70,18,19
70,19,19
70,20,20
70,21,18
70,22,20
70,23,21
70,24,21
70,25,17
70,26,18
70,27,15
70,28,13
70,29,14
70,30,13
71,1,14
71,2,13
71,3,16
71,4,17
71,5,14
71,6,15
71,7,16
71,8,18
71,9,20
71,10,18
71,11,18
71,12,16
71,13,16
71,14,17
71,15,16
71,16,12
71,17,11
71,18,10
71,19,9
71,20,11
71,21,14
71,22,11
71,23,11
71,24,11
71,25,13
71,26,12
71,27,11
71,28,9
71,29,9
71,30,10
71,31,11
72,1,12
72,2,14
72,3,18
72,4,17
72,5,14
72,6,15
72,7,17
72,8,16
72,9,14
72,10,15
72,11,14
72,12,15
72,13,12
72,14,10
72,15,11
72,16,12
72,17,12
72,18,14
72,19,13
72,20,13
72,21,13
72,22,11
72,23,12
72,24,13
72,25,17
72,26,18
72,27,16
72,28,15
72,29,15
72,30,15
72,31,16
73,1,17
73,2,17
73,3,17
73,4,18
73,5,16
73,6,18
73,7,17
73,8,14
73,9,10
73,10,8
73,11,7
73,12,6
73,13,7
73,14,7
73,15,9
73,16,14
73,17,16
73,18,11
73,19,8
73,20,7
73,21,12
73,22,14
73,23,15
73,24,16
73,25,18
73,26,19
73,27,19
73,28,18
74,1,19
74,2,17
74,3,16
74,4,16
74,5,16
74,6,16
74,7,15
74,8,15
74,9,14
74,10,14
74,11,15
74,12,17
74,13,19
74,14,16
74,15,16
74,16,18
74,17,18
74,18,19
74,19,20
74,20,19
74,21,16
74,22,15
74,23,17
74,24,18
74,25,20
74,26,21
74,27,21
74,28,22
74,29,21
74,30,21
74,31,20
75,1,21
75,2,20
75,3,19
75,4,20
75,5,18
75,6,19
75,7,19
75,8,20
75,9,21
75,10,22
75,11,22
75,12,23
75,13,23
75,14,23
75,15,22
75,16,22
75,17,23
75,18,23
75,19,23
75,20,25
75,21,24
75,22,24
75,23,23
75,24,22
75,25,23
75,26,23
75,27,22
75,28,24
75,29,24
75,30,22
76,1,22
76,2,23
76,3,25
76,4,23
76,5,20
76,6,19
76,7,21
76,8,22
76,9,21
76,10,23
76,11,22
76,12,25
76,13,26
76,14,28
76,15,29
76,16,27
76,17,27
76,18,29
